player_full_name,player_team,opposition_team,margin,round,fantasy_points,fantasy_lag_1,fantasy_lag_2,fantasy_lag_3,fantasy_lag_4,fantasy_lag_5,fantasy_lag_6,fantasy_lag_7,fantasy_lag_8,fantasy_lag_9,fantasy_lag_10,home_game,last_3_avg,last_5_avg,last_7_avg,season_avg,dvp,percentage_over_avg
Andrew Brayshaw,Fremantle,Collingwood,-46,Round 18,110,97,102,129,109,100,103,135,105,157,113,0,109.33333333333333,107.4,110.71428571428571,109.6875,-3.48,41.67
Andrew Brayshaw,Fremantle,Sydney Swans,-29,Round 19,91,110,97,102,129,109,100,103,135,105,157,1,103,109.4,107.14285714285714,109.70588235294117,-4.36,37.14
Andrew Brayshaw,Fremantle,Geelong Cats,7,Round 20,122,91,110,97,102,129,109,100,103,135,105,0,99.33333333333333,105.8,105.42857142857143,108.66666666666667,-6.49,47.06
Andrew Gaff,West Coast Eagles,Essendon,-50,Round 11,45,42,69,49,49,104,56,99,94,78,89,1,53.333333333333336,62.6,66.85714285714286,72.9,4.42,55.17
Andrew Gaff,West Coast Eagles,Collingwood,-63,Round 12,80,45,42,69,49,49,104,56,99,94,78,1,52,50.8,59.142857142857146,70.36363636363636,0.8,51.61
Andrew Gaff,West Coast Eagles,Adelaide Crows,-122,Round 13,46,80,45,42,69,49,49,104,56,99,94,0,55.666666666666664,57,62.57142857142857,71.16666666666667,-3.99,45.83
Andrew Gaff,West Coast Eagles,Sydney Swans,-171,Round 15,46,46,80,45,42,69,49,49,104,56,99,0,57,56.4,54.285714285714285,69.23076923076923,-10.32,30.77
Andrew Gaff,West Coast Eagles,St Kilda,-8,Round 16,83,46,46,80,45,42,69,49,49,104,56,1,57.333333333333336,51.8,53.857142857142854,67.57142857142857,10.78,68.42
Andrew Gaff,West Coast Eagles,Brisbane Lions,-81,Round 17,30,83,46,46,80,45,42,69,49,49,104,0,58.333333333333336,60,58.714285714285715,68.6,1.14,51.72
Andrew Gaff,West Coast Eagles,Richmond,-38,Round 18,88,30,83,46,46,80,45,42,69,49,49,1,53,57,53.142857142857146,66.1875,1.77,57.69
